feature,rfe_inclusion_prob,lasso_inclusion_prob
D14446_at,0.4444444444444444,0.0
D14533_at,0.1111111111111111,0.0
D14664_at,1.0,0.0
D14686_at,0.1111111111111111,0.0
D14689_at,0.3333333333333333,0.0
D14811_at,0.2222222222222222,0.0
D14838_at,0.2222222222222222,0.0
D15049_at,0.3333333333333333,0.0
D15050_at,0.1111111111111111,0.0
D16350_at,0.3333333333333333,0.0
D16469_at,0.2222222222222222,0.0
D16581_at,0.2222222222222222,0.0
D16583_at,0.8888888888888888,0.0
D16593_at,0.1111111111111111,0.0
D16626_at,0.3333333333333333,0.0
D16815_at,0.1111111111111111,0.0
D17390_at,0.1111111111111111,0.0
D17525_at,0.1111111111111111,0.0
D17716_at,0.1111111111111111,0.0
D21063_at,0.1111111111111111,0.0
D21205_at,0.1111111111111111,0.0
D21261_at,0.2222222222222222,0.0
D21262_at,0.1111111111111111,0.0
D21851_at,0.3333333333333333,0.0
D21852_at,0.1111111111111111,0.0
D21853_at,0.1111111111111111,0.0
D21878_at,0.1111111111111111,0.0
D23673_at,0.4444444444444444,0.0
D25215_at,0.1111111111111111,0.0
D25216_at,0.1111111111111111,0.0
D25217_at,0.8888888888888888,0.0
D25218_at,0.1111111111111111,0.0
D25278_at,0.2222222222222222,0.0
D25328_at,0.1111111111111111,0.0
D25539_at,0.4444444444444444,0.0
D26018_at,0.3333333333333333,0.0
D26129_at,0.4444444444444444,0.0
D26308_at,1.0,0.0
D26361_at,0.3333333333333333,0.0
D26362_at,0.2222222222222222,0.0
D26561_cds2_at,0.2222222222222222,0.0
D26579_at,0.3333333333333333,0.0
D26598_at,0.2222222222222222,0.0
D26600_at,0.1111111111111111,0.0
D28423_at,0.5555555555555556,0.0
D28476_at,0.1111111111111111,0.0
D28532_at,0.6666666666666666,0.0
D29013_at,0.1111111111111111,0.0
D29643_at,1.0,0.0
D29677_at,0.1111111111111111,0.0
D29958_at,0.1111111111111111,0.0
D29963_at,0.3333333333333333,0.0
D30036_at,0.2222222222222222,0.0
D30037_at,0.4444444444444444,0.0
D30655_at,0.7777777777777778,0.0
D30742_at,0.4444444444444444,0.0
D31762_at,0.1111111111111111,0.0
D31765_at,0.2222222222222222,0.0
D31883_at,0.1111111111111111,0.0
D31884_at,0.1111111111111111,0.0
D31886_at,0.2222222222222222,0.0
D31887_at,0.1111111111111111,0.0
D31890_at,0.1111111111111111,0.0
D31891_at,0.3333333333333333,0.0
D31897_at,0.1111111111111111,0.0
D32050_at,0.7777777777777778,0.0
D32202_at,0.1111111111111111,0.0
D37931_at,0.1111111111111111,0.0
D38037_at,0.2222222222222222,0.0
D38076_at,0.3333333333333333,0.0
