feature,rfe_inclusion_prob,lasso_inclusion_prob,fdr_inclusion_prob
D88532_at,0.15,0.0,0.0
D88667_at,0.075,0.0,0.0
D88795_at,0.025,0.0,0.0
D89052_at,0.95,0.0,0.025
D89077_at,0.1,0.0,0.0
D89667_at,0.975,0.0,0.0
D89858_at,0.225,0.0,0.0
D89859_at,0.025,0.0,0.0
D90064_at,0.475,0.0,0.0
D90084_at,0.025,0.0,0.0
D90097_at,0.3,0.0,0.0
D90224_at,0.1,0.0,0.0
D90282_at,0.075,0.0,0.0
HG1078-HT1078_at,0.275,0.0,0.0
HG1102-HT1102_at,0.55,0.0,0.0
HG1103-HT1103_at,0.075,0.0,0.0
HG1112-HT1112_at,0.1,0.0,0.0
HG1116-HT1116_at,0.3,0.0,0.0
HG1148-HT1148_at,0.225,0.0,0.0
HG1153-HT1153_at,0.025,0.0,0.0
HG1155-HT4822_at,0.025,0.0,0.0
HG1612-HT1612_at,1.0,0.0,0.3
HG1733-HT1748_at,0.525,0.0,0.0
HG174-HT174_at,0.375,0.0,0.0
HG180-HT180_at,0.05,0.0,0.0
HG1800-HT1823_at,0.05,0.0,0.0
HG1804-HT1829_at,0.2,0.0,0.0
HG1828-HT1857_at,0.275,0.0,0.0
HG1862-HT1897_at,0.025,0.0,0.0
HG1869-HT1904_at,0.075,0.0,0.0
HG1879-HT1919_at,0.075,0.0,0.0
HG2036-HT2090_at,0.6,0.0,0.0
HG2161-HT2231_at,0.125,0.0,0.0
HG2167-HT2237_at,0.025,0.0,0.0
HG2188-HT2258_at,0.05,0.0,0.0
HG2264-HT2360_at,0.125,0.0,0.0
HG2274-HT2370_at,0.1,0.0,0.0
HG2279-HT2375_at,0.225,0.0,0.0
HG2280-HT2376_at,0.025,0.0,0.0
HG2290-HT2386_at,0.025,0.0,0.0
HG2314-HT2410_at,0.125,0.0,0.0
HG2325-HT2421_at,0.325,0.0,0.0
HG2339-HT2435_at,0.05,0.0,0.0
HG2415-HT2511_at,0.075,0.0,0.0
HG2460-HT2556_at,0.075,0.0,0.0
HG2463-HT2559_at,0.7,0.0,0.0
HG2480-HT2576_at,0.175,0.0,0.0
HG2573-HT2669_at,0.375,0.0,0.0
HG2604-HT2700_at,0.45,0.0,0.0
HG2614-HT2710_at,0.05,0.0,0.0
